,Unnamed: 0,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Schedule,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Make and Model,Total_passengers,Fatality_Pecentage,Serious_Inj_Percentage,Minor/NonInj_Percentage
1215,1290.0,Accident,1982-05-21,"NORTHWOOD, ND",United States,Non-Fatal,Substantial,Airplane,Boeing,A75N1,No,1.0,Reciprocating,UNK,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,1982.0,Boeing-A75N1,1.0,0.0,0.0,100.0
1224,1300.0,Accident,1982-05-22,"ALLIANCE, OH",United States,Non-Fatal,Substantial,Airplane,Boeing,B75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1982.0,Boeing-B75N1,2.0,0.0,0.0,100.0
1493,1586.0,Accident,1982-06-16,"PICHER, OK",United States,Non-Fatal,Substantial,Airplane,Boeing,75A,No,1.0,Reciprocating,UNK,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,1982.0,Boeing-75A,1.0,0.0,0.0,100.0
1546,1644.0,Accident,1982-06-20,"TULSA, OK",United States,Non-Fatal,Substantial,Airplane,Boeing,A75L300,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1982.0,Boeing-A75L300,2.0,0.0,0.0,100.0
1630,1731.0,Accident,1982-06-27,"LUFKIN, TX",United States,Non-Fatal,Minor,Airplane,Boeing,B75,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,1982.0,Boeing-B75,2.0,0.0,0.0,100.0
1638,1741.0,Accident,1982-06-27,"BLOOMINGTON, IL",United States,Non-Fatal,Substantial,Airplane,Boeing,E75,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1982.0,Boeing-E75,2.0,0.0,0.0,100.0
1726,1834.0,Incident,1982-07-05,"FLUSHING, NY",United States,Incident,Minor,Airplane,Boeing,727233,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,74.0,VMC,Climb,Probable Cause,1982.0,Boeing-727233,74.0,0.0,0.0,100.0
1750,1859.0,Accident,1982-07-07,"TULSA, OK",United States,Non-Fatal,Substantial,Airplane,Boeing,A75,No,1.0,Reciprocating,,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,1982.0,Boeing-A75,1.0,0.0,100.0,0.0
1761,1871.0,Accident,1982-07-09,"NEW ORLEANS, LA",United States,Fatal(153),Destroyed,,Boeing,727235,No,3.0,Turbo Fan,SCHD,153.0,9.0,0.0,7.0,VMC,Takeoff,Probable Cause,1982.0,Boeing-727235,169.0,90.53254437869822,5.325443786982249,4.142011834319527
1766,1877.0,Accident,1982-07-09,"MADERA, CA",United States,Non-Fatal,Substantial,Airplane,Boeing,N2S1A75A,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,UNK,Landing,Probable Cause,1982.0,Boeing-N2S1A75A,1.0,0.0,0.0,100.0
2000,2132.0,Incident,1982-07-28,"FLUSHING, NY",United States,Incident,Minor,Airplane,Boeing,727231,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,129.0,IMC,Approach,Probable Cause,1982.0,Boeing-727231,129.0,0.0,0.0,100.0
2061,2197.0,Accident,1982-07-31,"HAMLIN, ME",United States,Non-Fatal,Substantial,Airplane,Boeing,Pt17,No,1.0,Reciprocating,UNK,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,1982.0,Boeing-Pt17,1.0,0.0,0.0,100.0
2113,2254.0,Incident,1982-08-05,"DENVER, CO",United States,Incident,Minor,Airplane,Boeing,737291,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,102.0,VMC,Takeoff,Probable Cause,1982.0,Boeing-737291,102.0,0.0,0.0,100.0
2182,2327.0,Accident,1982-08-11,"MONAHANS, TX",United States,Non-Fatal,Substantial,Airplane,Boeing,E75,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1982.0,Boeing-E75,1.0,0.0,0.0,100.0
2190,2335.0,Incident,1982-08-12,"NORTH PLATTE, NE",United States,Incident,Minor,Airplane,Boeing,737291,No,2.0,Turbo Fan,SCHD,0.0,0.0,33.0,0.0,IMC,Approach,Probable Cause,1982.0,Boeing-737291,33.0,0.0,0.0,100.0
2436,2595.0,Accident,1982-08-31,"MADISON, FL",United States,Non-Fatal,Substantial,Airplane,Boeing,A75N1,No,1.0,Reciprocating,UNK,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1982.0,Boeing-A75N1,1.0,0.0,0.0,100.0
2453,2614.0,Incident,1982-09-02,"WASHINGTON, DC",United States,Incident,,Airplane,Boeing,727,No,3.0,Turbo Fan,SCHD,0.0,1.0,1.0,128.0,VMC,Descent,Probable Cause,1982.0,Boeing-727,130.0,0.0,0.7692307692307693,99.23076923076924
2495,2660.0,Accident,1982-09-05,"BRIDGEPORT, NJ",United States,Non-Fatal,Substantial,Airplane,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1982.0,Boeing-A75N1,1.0,0.0,0.0,100.0
2759,2950.0,Incident,1982-10-03,"KENNER, LA",United States,Incident,,,Boeing,727225A,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,112.0,VMC,Takeoff,Probable Cause,1982.0,Boeing-727225A,112.0,0.0,0.0,100.0
2820,3015.0,Accident,1982-10-10,"FT. BRAGG, CA",United States,Non-Fatal,Destroyed,Airplane,Boeing,A75,No,1.0,Reciprocating,,0.0,0.0,1.0,0.0,VMC,Go-around,Probable Cause,1982.0,Boeing-A75,1.0,0.0,0.0,100.0
2959,3177.0,Accident,1982-11-02,"AUSTIN, TX",United States,Non-Fatal,,Airplane,Boeing,737200,No,2.0,Turbo Fan,SCHD,0.0,1.0,0.0,67.0,VMC,Climb,Probable Cause,1982.0,Boeing-737200,68.0,0.0,1.4705882352941175,98.52941176470588
3024,3247.0,Accident,1982-11-11,"MIAMI, FL",United States,Fatal(1),,Airplane,Boeing,707300,No,4.0,Turbo Fan,NSCH,1.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,1982.0,Boeing-707300,4.0,25.0,0.0,75.0
3104,3335.0,Incident,1982-11-22,"LITTLE ROCK, AR",United States,Incident,Minor,Airplane,Boeing,727223,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,23.0,IMC,Landing,Probable Cause,1982.0,Boeing-727223,23.0,0.0,0.0,100.0
3140,3374.0,Accident,1982-11-27,"MIAMI, FL",United States,Non-Fatal,Substantial,Airplane,Boeing,707323C,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,116.0,VMC,Takeoff,Probable Cause,1982.0,Boeing-707323C,116.0,0.0,0.0,100.0
3181,3417.0,Incident,1982-12-05,"WINSTON-SALEM, NC",United States,Incident,Minor,Airplane,Boeing,737201,No,2.0,Turbo Fan,,0.0,0.0,0.0,5.0,VMC,Approach,Probable Cause,1982.0,Boeing-737201,5.0,0.0,0.0,100.0
3187,3423.0,Incident,1982-12-06,"SARASOTA, FL",United States,Incident,Minor,Airplane,Boeing,727225,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,21.0,VMC,Takeoff,Probable Cause,1982.0,Boeing-727225,21.0,0.0,0.0,100.0
3210,3447.0,Accident,1982-12-09,"DENVER, CO",United States,Non-Fatal,,Airplane,Boeing,737291,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,57.0,VMC,Taxi,Probable Cause,1982.0,Boeing-737291,57.0,0.0,0.0,100.0
3257,3498.0,Accident,1982-12-16,"ANDERSON, SC",United States,Non-Fatal,Substantial,Airplane,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1982.0,Boeing-A75N1,2.0,0.0,0.0,100.0
3311,3557.0,Incident,1982-12-26,"MEMPHIS, TN",United States,Incident,Minor,Airplane,Boeing,727223,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,58.0,IMC,Go-around,Probable Cause,1982.0,Boeing-727223,58.0,0.0,0.0,100.0
3324,3571.0,Incident,1982-12-28,"WASHINGTON, DC",United States,Incident,,Airplane,Boeing,737222,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,73.0,VMC,Approach,Probable Cause,1982.0,Boeing-737222,73.0,0.0,0.0,100.0
3396,3645.0,Accident,1983-01-07,"NEAR YAKIMA, WA",United States,Non-Fatal,,,Boeing,727,No,3.0,Turbo Fan,SCHD,0.0,1.0,0.0,36.0,IMC,Climb,Probable Cause,1983.0,Boeing-727,37.0,0.0,2.702702702702702,97.2972972972973
3449,3702.0,Incident,1983-01-16,"LOS ANGELES, CA",United States,Incident,Minor,,Boeing,747123,No,4.0,Turbo Fan,,0.0,0.0,0.0,412.0,VMC,Taxi,Probable Cause,1983.0,Boeing-747123,412.0,0.0,0.0,100.0
3475,3729.0,Incident,1983-01-20,"LUBBOCK, TX",United States,Incident,,,Boeing,B737200,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,73.0,IMC,Taxi,Probable Cause,1983.0,Boeing-B737200,73.0,0.0,0.0,100.0
3489,3744.0,Incident,1983-01-23,"SAN DIEGO, CA",United States,Incident,Minor,,Boeing,767231,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,159.0,VMC,Descent,Probable Cause,1983.0,Boeing-767231,159.0,0.0,0.0,100.0
3630,3893.0,Incident,1983-02-15,"MIAMI, FL",United States,Incident,Minor,,Boeing,B727200,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,74.0,VMC,Takeoff,Probable Cause,1983.0,Boeing-B727200,74.0,0.0,0.0,100.0
3867,4150.0,Incident,1983-03-18,"LOS ANGELES, CA",United States,Incident,Minor,Airplane,Boeing,747,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,588.0,VMC,Taxi,Probable Cause,1983.0,Boeing-747,588.0,0.0,0.0,100.0
3891,4175.0,Accident,1983-03-20,"MARANA, AZ",United States,Non-Fatal,Substantial,,Boeing,D75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1983.0,Boeing-D75N1,1.0,0.0,0.0,100.0
3895,4180.0,Incident,1983-03-21,"DENVER, CO",United States,Incident,Minor,,Boeing,737200,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,82.0,VMC,Takeoff,Probable Cause,1983.0,Boeing-737200,82.0,0.0,0.0,100.0
3904,4189.0,Accident,1983-03-23,"CASPER, WY",United States,Non-Fatal,Minor,,Boeing,7372H4,No,2.0,Turbo Jet,SCHD,0.0,1.0,0.0,95.0,VMC,Landing,Probable Cause,1983.0,Boeing-7372H4,96.0,0.0,1.0416666666666663,98.95833333333334
3957,4244.0,Incident,1983-03-30,"DES MOINES, IA",United States,Incident,Minor,,Boeing,727222,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,44.0,IMC,Taxi,Probable Cause,1983.0,Boeing-727222,44.0,0.0,0.0,100.0
3996,4287.0,Accident,1983-04-02,"BALTIMORE, MD",United States,Non-Fatal,,,Boeing,707323C,No,4.0,Turbo Fan,NSCH,0.0,1.0,0.0,190.0,VMC,Descent,Probable Cause,1983.0,Boeing-707323C,191.0,0.0,0.5235602094240838,99.47643979057592
4210,4519.0,Accident,1983-04-27,"KENNESAW, GA",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,1983.0,Boeing-A75N1,1.0,0.0,0.0,100.0
4262,4576.0,Accident,1983-05-04,"IOWA, LA",United States,Non-Fatal,Substantial,,Boeing,A75,No,1.0,Reciprocating,UNK,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1983.0,Boeing-A75,1.0,0.0,0.0,100.0
4408,4735.0,Accident,1983-05-20,"ST. LOUIS, MO",United States,Non-Fatal,Substantial,,Boeing,727100,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,52.0,VMC,Taxi,Probable Cause,1983.0,Boeing-727100,52.0,0.0,0.0,100.0
4429,4764.0,Incident,1983-05-23,"COLORADO SPRING, CO",United States,Incident,Minor,,Boeing,72731H,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,25.0,VMC,Taxi,Probable Cause,1983.0,Boeing-72731H,25.0,0.0,0.0,100.0
4430,4765.0,Incident,1983-05-23,"MEMPHIS, TN",United States,Incident,,,Boeing,B737222,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,59.0,VMC,Taxi,Probable Cause,1983.0,Boeing-B737222,59.0,0.0,0.0,100.0
4465,4800.0,Incident,1983-05-27,"CHARLOTTE, NC",United States,Incident,Minor,,Boeing,727200,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,150.0,VMC,Takeoff,Probable Cause,1983.0,Boeing-727200,150.0,0.0,0.0,100.0
4471,4806.0,Accident,1983-05-27,"LEBANON, IN",United States,Fatal(1),Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,1.0,1.0,0.0,1.0,VMC,Takeoff,Probable Cause,1983.0,Boeing-A75N1,3.0,33.33333333333333,33.33333333333333,33.33333333333333
4548,4889.0,Incident,1983-06-03,"PORTLAND, OR",United States,Incident,,,Boeing,727200,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,133.0,VMC,Standing,Probable Cause,1983.0,Boeing-727200,133.0,0.0,0.0,100.0
4651,5003.0,Accident,1983-06-10,SAN JUAN,Puerto Rico,Non-Fatal,,,Boeing,727200,No,3.0,Turbo Fan,SCHD,0.0,1.0,6.0,145.0,VMC,Standing,Probable Cause,1983.0,Boeing-727200,152.0,0.0,0.6578947368421052,99.3421052631579
4661,5013.0,Accident,1983-06-11,"CHICAGO, IL",United States,Non-Fatal,Substantial,,Boeing,727222A,No,3.0,Turbo Fan,SCHD,0.0,2.0,15.0,125.0,VMC,Takeoff,Probable Cause,1983.0,Boeing-727222A,142.0,0.0,1.4084507042253522,98.59154929577466
4707,5065.0,Incident,1983-06-16,"CHARLOTTE, NC",United States,Incident,Minor,,Boeing,737201,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,102.0,IMC,Climb,Probable Cause,1983.0,Boeing-737201,102.0,0.0,0.0,100.0
4747,5110.0,Accident,1983-06-19,"BENKELMAN, NE",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause,1983.0,Boeing-A75N1,2.0,0.0,0.0,100.0
4756,5119.0,Incident,1983-06-20,"CHICAGO, IL",United States,Incident,Minor,,Boeing,B747,No,4.0,Turbo Fan,NSCH,0.0,0.0,0.0,440.0,VMC,Taxi,Probable Cause,1983.0,Boeing-B747,440.0,0.0,0.0,100.0
4757,5120.0,Incident,1983-06-20,"CHICAGO, IL",United States,Incident,Minor,,Boeing,B747,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,440.0,VMC,Standing,Probable Cause,1983.0,Boeing-B747,440.0,0.0,0.0,100.0
4775,5140.0,Accident,1983-06-22,"KALAMAZOO, MI",United States,Non-Fatal,Destroyed,,Boeing,A75,No,1.0,Reciprocating,,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,1983.0,Boeing-A75,4.0,0.0,0.0,100.0
4905,5280.0,Incident,1983-07-02,"LOS ANGELES, CA",United States,Incident,Minor,,Boeing,727200,No,3.0,Turbo Fan,SCHD,0.0,0.0,1.0,133.0,VMC,Taxi,Probable Cause,1983.0,Boeing-727200,134.0,0.0,0.0,100.0
5019,5410.0,Accident,1983-07-10,"CINCINNATI, OH",United States,Non-Fatal,Substantial,,Boeing,B75,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1983.0,Boeing-B75,2.0,0.0,0.0,100.0
5028,5419.0,Accident,1983-07-11,"WEBB, TX",United States,Non-Fatal,Destroyed,,Boeing,B75N1,No,1.0,Reciprocating,UNK,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1983.0,Boeing-B75N1,1.0,0.0,100.0,0.0
5083,5476.0,Incident,1983-07-16,"ST. LOUIS, MO",United States,Incident,Minor,,Boeing,727231A,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,65.0,VMC,Taxi,Probable Cause,1983.0,Boeing-727231A,65.0,0.0,0.0,100.0
5183,5592.0,Accident,1983-07-25,"TRACY, CA",United States,Non-Fatal,Substantial,,Boeing,Ib75A,No,1.0,Reciprocating,UNK,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,1983.0,Boeing-Ib75A,1.0,0.0,0.0,100.0
5301,5726.0,Accident,1983-08-04,,Pakistan,Non-Fatal,Substantial,,Boeing,747121,No,4.0,Unknown,SCHD,0.0,0.0,0.0,245.0,UNK,,Foreign,1983.0,Boeing-747121,245.0,0.0,0.0,100.0
5444,5884.0,Accident,1983-08-14,"SABIN, MN",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,UNK,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1983.0,Boeing-A75N1,1.0,0.0,100.0,0.0
5482,5926.0,Incident,1983-08-19,"DENVER, CO",United States,Incident,,,Boeing,767,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,205.0,VMC,Descent,Probable Cause,1983.0,Boeing-767,205.0,0.0,0.0,100.0
5492,5936.0,Accident,1983-08-20,"TRACY, CA",United States,Non-Fatal,Destroyed,,Boeing,E75,No,1.0,Reciprocating,UNK,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1983.0,Boeing-E75,1.0,0.0,0.0,100.0
5704,6178.0,Incident,1983-09-07,"CHICAGO, IL",United States,Incident,Minor,,Boeing,727200,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,116.0,VMC,Approach,Probable Cause,1983.0,Boeing-727200,116.0,0.0,0.0,100.0
5707,6183.0,Accident,1983-09-07,"GALESBURG, IL",United States,Non-Fatal,Substantial,,Boeing,B75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1983.0,Boeing-B75N1,2.0,0.0,0.0,100.0
5708,6184.0,Accident,1983-09-07,"GALESBURG, IL",United States,Non-Fatal,Substantial,,Boeing,Pt13D,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1983.0,Boeing-Pt13D,2.0,0.0,0.0,100.0
5747,6226.0,Accident,1983-09-10,"GALESBURG, IL",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,1983.0,Boeing-A75N1,2.0,0.0,0.0,100.0
5798,6283.0,Accident,1983-09-16,"ST. AUGUSTINE, FL",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,1983.0,Boeing-A75N1,2.0,0.0,0.0,100.0
5870,6363.0,Incident,1983-09-23,"DALLAS/FT WORTH, TX",United States,Incident,,,Boeing,727223B,No,3.0,Turbo Fan,SCHD,0.0,0.0,2.0,110.0,VMC,Standing,Probable Cause,1983.0,Boeing-727223B,112.0,0.0,0.0,100.0
5978,6477.0,Incident,1983-10-05,"DFW AIRPORT, TX",United States,Incident,Minor,,Boeing,B727023,No,3.0,Turbo Jet,SCHD,0.0,0.0,6.0,66.0,VMC,Taxi,Probable Cause,1983.0,Boeing-B727023,72.0,0.0,0.0,100.0
5994,6494.0,Incident,1983-10-07,"JUNEAU, AK",United States,Incident,Minor,,Boeing,727247,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,87.0,IMC,Takeoff,Probable Cause,1983.0,Boeing-727247,87.0,0.0,0.0,100.0
6041,6545.0,Accident,1983-10-11,"FRANKFORT, GERMANY",Germany,Non-Fatal,Substantial,,Boeing,747200F,No,4.0,Unknown,NSCH,0.0,0.0,0.0,5.0,UNK,,Foreign,1983.0,Boeing-747200F,5.0,0.0,0.0,100.0
6061,6566.0,Incident,1983-10-15,"WOODLAND, CA",United States,Incident,Minor,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,6.0,VMC,Landing,Probable Cause,1983.0,Boeing-A75N1,6.0,0.0,0.0,100.0
6092,6598.0,Incident,1983-10-18,"PUEBLO, CO",United States,Incident,,,Boeing,727222,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,7.0,VMC,Climb,Probable Cause,1983.0,Boeing-727222,7.0,0.0,0.0,100.0
6096,6602.0,Incident,1983-10-19,"MIAMI, FL",United States,Incident,Minor,,Boeing,72721,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,73.0,VMC,Landing,Probable Cause,1983.0,Boeing-72721,73.0,0.0,0.0,100.0
6120,6628.0,Accident,1983-10-23,"BREWSTER, WA",United States,Non-Fatal,Destroyed,,Boeing,A75N1,No,1.0,Reciprocating,UNK,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1983.0,Boeing-A75N1,1.0,0.0,100.0,0.0
6192,6706.0,Incident,1983-11-02,"SAN FRANCISCO, CA",United States,Incident,Minor,,Boeing,767,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,104.0,VMC,Taxi,Probable Cause,1983.0,Boeing-767,104.0,0.0,0.0,100.0
6241,6760.0,Incident,1983-11-08,"CHICAGO, IL",United States,Incident,Minor,Airplane,Boeing,727200,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,100.0,VMC,Taxi,Probable Cause,1983.0,Boeing-727200,100.0,0.0,0.0,100.0
6252,6773.0,Incident,1983-11-10,"ST. LOUIS, MO",United States,Incident,,,Boeing,72715C,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,3.0,IMC,Taxi,Probable Cause,1983.0,Boeing-72715C,3.0,0.0,0.0,100.0
